,,SKRUDINIMO/SUMUŠTINIŲ DUONOS ,CRISP / SANDWICH BREAD,kg,,,EAN code
,Vilniaus Duona,"""Urtės"" sumuštinių duona su grūdais (Kepalas, raikyta)","“Urtės” sandwich bread with grains (Loaf, sliced)",0.475,16.00,,4770163199595
,Vilniaus Duona,"""Beatos virtuvė"" sumuštinių duona su priedais (Kepalas, raikyta)","“Beatos virtuvė” sandwich bread with additives (Loaf, sliced)","0,4",16.00,,
,Vilniaus Duona,TOSTE balta skrudinimo duona,TOSTE roasting white bread,500g,16.00,,4740072251950
,,BATONAI,LONG LOAF,kg,,,EAN code
,Vilniaus Duona,"""Sostinės"" batonas (Vienetas, raikyta)","“Sostinės” baguette (The unit, sliced)",400g,11.00,,
,Vilniaus Duona,Kasdieninis batonas,Daily baguette,300g,7.00,,4770163201533
,Vilniaus Duona,7 grūdų Urtės batonas,,300g,10.00,,4770163201908
,Vilniaus Duona,Pieniškas batonas,,330g,10.00,,4770163202325
,Baltasis Pyragas,“Dukraitės” batonas (Raikyta),“Dukraitės” baguette (Sliced),350g,10.00,,4770777192395
,Baltasis Pyragas,“Mamos” batonas (Raikyta),“Mamos” baguette (Sliced),350g,ti,,4770777192029
,,BANDELĖS,BUN,kg,,,EAN code
,Vilniaus Duona,"""IMK"" bandelės (Vienetas)",“Imk” buns (Unit),225g,12.00,,
,Vilniaus Duona,Sumuštinių bandelės,,225g,12.00,,4770163200499
,Vilniaus Duona,"""Toste"" bandelės su grūdais (Vienetas)",“Toste”buns with grain (Unit),260g,10.00,,4770163202141
,ALKOHOLINIAI GĖRIMAI,,,,,,
,,DEGTINĖ,VODKA,"Capacity, l",,,EAN code
,Stumbras,"Šimtmečio degtinė (su rugio varpa), 40% alk / Stumbras Centenary Vodka","Centenary vodka (with an ear of corn), 40% alc / Centenary Stumbras Vodka",0.7,120.00,,4770033224709
,Stumbras,"Šimtmečio degtinė (su rugio varpa), 40% alk / Stumbras Centenary Vodka","Centenary vodka (with an ear of corn), 40% alc / Centenary Stumbras Vodka",0.2,40.00,,4770033225973
,Stumbras,Degtinė PURE 40% alk/ Stumbras Pure Vodka,Pure Vodka 40% alc,"0,7l",120.00,,4770033228080
,Stumbras,Degtinė Quince 40% alk,Quince Vodka 40% alc,"0,5l",100.00,,4770033228264
,Stumbras,Degtinė Cranberry 40% alk,Cranberry Vodla 40% alc,"0,5l",100.00,,4770033228240
,Stumbras,Lietuviška degtinė / Lithuanian Vodka Original,Lithuanian vodka / Lithuanian Vodka Original,0.7,100.00,,4770033223474
,Stumbras,Lietuviška degtinė / Lithuanian Vodka Original,Lithuanian vodka / Lithuanian Vodka Original,0.2,35.00,,4770033222569
,Stumbras,Lietuviška degtinė Auksinė / Lithuanian Vodka Gold,Lithuanian Vodka Gold / Lithuanian Vodka Gold,0.7,110.00,,4770033221395
,Stumbras,Lietuviška degtinė Auksinė su dovanų dež./ Lithuanian Vodka Gold (with souvenir box),Lithuanian vodka with gold gift box. / Lithuanian Vodka Gold,0.7,140.00,,
,Stumbras,Lietuviška degtinė Stiprioji / Lithuanian Vodka Strong,The strength of the Lithuanian vodka / Lithuanian Vodka Strong,0.5,100.00,,
,Stumbras,Lietuviška degtinė (Black edition) / Lithuanian Vodka. Black Edition,Lithuanian vodka (Black Edition) / Lithuanian Vodka. Black Edition,0.75,150.00,,4770033227700
,Stumbras,Carskij Pokrov vodka,Carskij Pokrov vodka,0.7,100.00,,
,Stumbras,"999. Herbs slavoured vodka DEVYNERIOS, 40% alk","999 Herbs Vodka slavoured nine, 40% alc",0.5,120.00,,4770033228417
,Alita,Degtinė MINDAUGAS,Vodka MINDAUGAS,0.5,79.00,,
,Alita,"Degtinė GERA (PREMIUM ULTRA), 40% alk","GOOD Vodka (PREMIUM ULTRA), 40% alc",0.7,120.00,,4770047231311
,Alita,"Degtinė GERA (PREMIUM), 40% alk","GOOD Vodka (PREMIUM), 40% alc",0.7,100.00,,4770047230932
,Alita,"Degtinė GERA (PREMIUM), 40% alk","GOOD Vodka (PREMIUM), 40% alc",0.2,40.00,,4770047230918
,Alita,"LEDO degtinė, 40% alk",ICE Vodka 40% alc,0.7,100.00,,4770153224306
,Alita,"BOOM gazuota aromatizuota degtinė, 40% alk","BOOM carbonated flavored vodka, 40% alc",0.7,120.00,,4770047230604
,,TRAUKTINĖ,BITTER,"Capacity, l",,,EAN code
,Stumbras,"Stumbro Starka, 43% alk","Stumbro Starka, 43% alc",0.7,120.00,,4770033221609
,Stumbras,"Stumbro Starka, 43% alk","Stumbro Starka, 43% alc",0.2,40.00,,4770033222620
,Stumbras,999. Herba Devynia Bitter (Trejos devynerios),999. Herba Nine Bitter (The Nines),0.7,125.00,,4770033226932
,Stumbras,999. Herba Devynia Original (Žalios devynerios),999. Herba Nine Original (Green Nines),0.2,40.00,,4770033225140
,Stumbras,999. Herba Devynia Original (Žalios devynerios),999. Herba Nine Original (Green Nines),0.7l,125.00,,4770033226956
,Stumbras,999. Herba Devynia Unique herb taste (Geltonos devynerios),999. Herba Nine Unique herb taste (Yellow Nines),0.7l,125.00,,4770033221524
,Stumbras,999. Herba Devynia Herb&Citrus (Raudonos devynerios),999. Herba Nine Citrus & Herb (Red Nines),0.7,125.00,,
,Stumbras,999. Herba Devynia Herb&Citrus (Raudonos devynerios),999. Herba Nine Citrus & Herb (Red Nines),0.5l,100.00,,4770033225850
,Stumbras,"999. IMBIERINĖS DEVYNERIOS, 35% alk","999. GINGER NINE, 35% alc",0.5,100.00,,4770033228677
,Stumbras,Miller's Bitter / Malūnininkų,Miller's Bitter / Malunininku,0.5,100.00,,
,Alita,"Trauktinė BOBELINĖ, 35% alk","Bitter BOBELINĖ, 35% alc",0.5,95.00,,4770153222524
,Alita,"Trauktinė PELYNO, 47% alk","Bitter PELYNO, 47% alc",0.5,120.00,,4770047228328
,Alita,"Trauktinė PELYNO, 47% alk","Bitter PELYNO, 47% alc",0.2,40.00,,4770047229141
,Alita,Trauktinė BOŽOLINĖ,Bitter BOŽOLINĖ,,120.00,,
,,BRENDIS,BRANDY,"Capacity, l",,,EAN code
,Stumbras,"Brandy Gloria 5* (with souvenir packaging), 38% alk","Gloria Brandy 5 * (with souvenir packaging), 38% alc",0.5,120.00,,
,Stumbras,"Brandy Gloria 5*, 38% alk","Gloria Brandy 5 *, 38% alc",0.2,40.00,,4770033224013
,Stumbras,"Brandy Gloria 7*, 38% alk","Gloria Brandy 7 *, 38% alc",0.7,130.00,,4770033223979
,Alita,"Brendis FORUM, 36% alk","FORUM brandy, 36% alc",0.5,85.00,,4770047231632
,Alita,"Brendis ALITA VSOP, 38% alk","Alita VSOP brandy, 38% alc","0,35 l",75.00,,4770047230192
,Alita,"Brendis ALITA VSOP, 38% alk","Alita VSOP brandy, 38% alc","0,7 l",120.00,,4770047230130
,Alita,"Brendis ALITA XO, 38% alk","Brandy ALITA XO, 38% alc",,130.00,,
,Alita,"Brendis ALITA RESERVA, 38% alk","Brandy ALITA RESERVA, 38% alc","0,7 l",130.00,,4770047231014
,Yerevan Brandy Company,Brendis ARARAT 3-jų metų brandinimo,Ararat – 3 years,"0,5l",140.00,,4850001001904
,Yerevan Brandy Company,Brendis ARARAT 5-ių metų brandinimo,Ararat – 5 years,"0,5l",150.00,,4850001001935
,Yerevan Brandy Company,Brendis ARARAT 6-ių metų brandinimo,Ararat – 6 years,"0,5l",160.00,,4850001001966
,Yerevan Brandy Company,Brendis ARARAT 10-ies metų brandinimo,Ararat – 10 years,"0,5l",200.00,,4850001002024
,,LIKERIS,LIQUEUR,"Capacity, l",,,EAN code
,Stumbras,"ZAGARĖS vyšnių likeris, 30% alk","“Zagarės” cherry liqueur, 30% alc",0.5,85.00,,4770033220145
,Stumbras,999. The Nines Original. Sweet Herbal liqueur ( Zalios devynerios),999. The Nines Original. Sweet Herbal liqueur (Green Nines),0.7,125.00,,4770033226956
,,PUTOJANTIS VYNAS,SPARKLING WINE,"Capacity, l",,,EAN code
,Alita,"Natūralios fermentacijos putojantis vynas BRIUTAS, 11% alk","Natural fermentation sparkling wine BRUT, 11% alc",0.75,65.00,,4770047220308
,Alita,"Natūralios fermentacijos putojantis vynas Klasikininis Klasikinis BRIUTAS, 11% alk","Natural fermentation sparkling wine Classic BRUT, 11% alc",0.75,65.00,,4770047230390
,Alita,"Natūralios fermentacijos putojantis vynas SAUSAS, 11% alk","Natural fermentation sparkling wine DRY, 11% alc",0.75,65.00,,4770047220032
,Alita,"Natūralios fermentacijos putojantis vynas KLASIKINIS (sausas), 11% alk","Natural fermentation sparkling wine CLASSIC (dry), 11% alc",0.75,65.00,,4770047230406
,Alita,"Natūralios fermentacijos putojantis vynas PUSIAU SAUSAS, 11% alk","Natural fermentation sparkling wine semi dry, 11% alc",0.75,65.00,,4770047220049
,Alita,"Natūralios fermentacijos putojantis vynas PUSIAU SAUSAS, 11% alk","Natural fermentation sparkling wine semi dry, 11% alc",1.5,125.00,,4770047220179
,Alita,"Natūralios fermentacijos putojantis vynas PUSIAU SAUSAS, 11% alk","Natural fermentation sparkling wine semi dry, 11% alc",3,350.00,,4770047220193
,Alita,"Natūralios fermentacijos putojantis vynas CHARDONNAY (pusiau sausas), 11% alk","Natural fermentation sparkling wine CHARDONNAY (semi-dry), 11% alc",0.75,65.00,,4770047220605
,Alita,"Natūralios fermentacijos putojantis vynas CHARDONNAY (PUSIAU SAUSAS), 11% alk","Natural fermentation sparkling wine CHARDONNAY (semi-dry), 11% alc",0.2,20.00,,4770047220629
,Alita,"Natūralios fermentacijos putojantis vynas RIESLING (pusiau sausas), 11% alk","Natural fermentation sparkling wine RIESLING (semi-dry), 11% alc",0.75,65.00,,4770047232226
,Alita,"Natūralios fermentacijos putojantis vynas SILVER (pusiau sausas), 11% alk","Natural fermentation sparkling wine SILVER (semi-dry), 11% alc",0.75,65.00,,4770047220728
,Alita,"Natūralios fermentacijos putojantis vynas CABERNET SAUVIGNON (pusiau sausas), 11%","Natural fermentation sparkling wine CABERNET SAUVIGNON (semi-dry), 11% ",0.75,65.00,,4770047231823
,Alita,"Natūralios fermentacijos putojantis vynas ROŽINIS (pusiau sausas), 11% alk","Natural fermentation sparkling wine ROSE (semi-dry), 11% alc",0.75,65.00,,4770047231557
,Alita,"Natūralios fermentacijos putojantis vynas SALDUS, 11% alk","Natural fermentation sparkling wine sweet, 11% alc",0.75,65.00,,4770047220056
,Alita,"Natūralios fermentacijos putojantis vynas MUSCAT (saldus), 11% alk","Natural fermentation sparkling wine MUSCAT (sweet), 11% alc",0.75,65.00,,4770047220315
,Alita,"Natūralios fermentacijos putojantis vynas (pusiau sausas), 11% alk","Natural fermentation sparkling wine MUSCAT (medium dry), 11% alc",0.75,65.00,,4770047230864
,Alita,"Putojantis vynas KLASIČESKOJE LIOGKOE, 7% alk","Sparkling wine KLASIČESKOJE LIOGKOE, 7% alc",0.75,45.00,,4770047230635
,Alita,"Putojantis vynas IGRISTOJE LIOGKOE, 7% alk","Sparkling wine IGRISTOJE LIOGKOE, 7% alc",0.75,45.00,,4770047230628
,Alita,"Putojantis vynas ZOLOTOJE MUSKATNOJE, 7% alk","Sparkling wine ZOLOTOJE MUSKATNOJE, 7% alc",0.75,45.00,,4770047230871
,Alita,Putojantis vynas SOVETSKOJE POLUSLADKOJE 10.5% alk,Sparkling wine SOVETSKOJE POLUSLADKOJE 10.5% alc,0.75,45.00,,4770047232806
,Bosca,"Putojantis gazuotas fermentuotas gėrimas BOSCA ANIVERSARY (saldus), 7.5% alk","Aerated sparkling fermented BOSCA ANIVERSARY (sweet), 7.5% alc",0.75,42.00,,4770677226015
,Bosca,"Putojantis gazuotas fermentuotas gėrimas BOSCA ANIVERSARY ( pusiau saldus), 7.5%","Aerated sparkling fermented BOSCA ANIVERSARY(semi-sweet), 7.5% ",0.75,42.00,,4770677226022
,Bosca,"Putojantis gazuotas fermentuotas gėrimas BOSCA ANIVERSARY (sausas), 7.5% alk","Aerated sparkling fermented BOSCANIVERSARY (dry), 7.5% alc",0.75,42.00,,4770677224462
,Bosca,"Putojantis gazuotas fermentuotas gėrimas BOSCA ROSE, 7.5% alk",Aerated sparkling fermented BOSCA ROSE 7.5% alc,0.75,42.00,,4770677227333
,,SIDRAS (butelio/skardinės kaina 1kr NEįskaičiuota į produkto kainą),CIDER (pant price is NOT included),"Capacity, l",,PANT,EAN code
,Alita,"MIX brandy&cola, 5% alk","MIX Brandy & Cola, 5% alc",0.33,12.00,1.00,4770047228311
,Alita,"MIX vodka&watermelon, 5% alk","MIX Vodka & Watermelon, 5% alc",0.33,12.00,1.00,4770047228441
,Alita,"MIX vodka&lime, 5% alk","Mix Vodka & Lime, 5% alc",0.33,12.00,1.00,4770047228434
,Alita,"MIX vodka&pineapple/coconut, 5% alk","Mix Vodka & Pineapple / Coconut, 5% alc",0.33,12.00,1.00,4770047229271
,Alita,"MIX vodka&green apple/cactus, 5% alk","Mix Vodka & Green Apple / Cactus, 5% alc",0.33,12.00,1.00,4770047229714
,Alita,"MIX wild berry, 5% alk","MIX wild berry, 5% alc",0.33,12.00,1.00,4770047231250
,Alita,"MIX sweet cranberries, 5% alk","Mix sweet cranberries, 5% alc",0.33,12.00,1.00,4770047231588
,Alita,"MIX orange spritzer, 5% alk","Mix orange spritzer, 5% alc",0.33,12.00,1.00,4770047232387
,Alita,Mix Go apple twist,Mix Go apple twist,0.33,12.00,1.00,
,Alita,Mix Go melon-daiquire,Mix Go melon-daiquiri,0.33,12.00,1.00,
,Alita,Mix Go kiwi sunrise,Mix Go kiwi sunrise,0.33,12.00,1.00,
,Alita,Mix Go strawberry margarita,Mix Go strawberry margarita,0.33,12.00,1.00,
,Švyturys- Utenos,KISS cider peach taste,KISS cider peach taste,0.5,13.00,1.00,4740019501018
,Švyturys- Utenos,KISS cider pear taste,KISS cider pear taste,0.5,13.00,1.00,4770075221162
,Švyturys- Utenos,KISS cider strawberry taste,KISS cider strawberry taste,0.5,13.00,1.00,4740019500004
,Švyturys- Utenos,KISS cider cherry taste,KISS cider cherry taste,0.5,13.00,1.00,4770075221186
,,ALUS (butelio/skardinės kaina 1 kr NEįskaičiuota į produkto kainą),BEER (pant price is NOT included),"Capacity, l",,PANT,EAN code
,Gubernija,"ART “Kunigaikščių” tamsusis alus, 7% alk","ART “Kunigaikščių” dark beer, 7% alc",0.33,11.00,1.00,4770395222115
,Gubernija,"ART “Tamsusis Elis”, 5.9% alk","ART ""Dark Elis”, 5.9% alc",0.33,11.00,1.00,4770395226755
,Gubernija,"ART “Ekstra”, 5.5% alk","ART “Extra”, 5.5% alc",0.33,11.00,1.00,4770395222139
,Gubernija,"KVIETINIS baltas alus, 4.3% alk","KVIETINIS white beer, 4.3% alc",0.5,12.00,1.00,4770395226458
,Gubernija,"GRAND 9.5 Original (skardinė), 9.5% alk","GRAND 9.5 Original (tin), 9.5% alc",0.5,14.00,1.00,4770395223624
,Švyturys,"Švyturio Ekstra (butelis), 5.2% alk","Švyturio Extra (bottle), 5.2% alc",0.5,12.00,1.00,4770349221102
,Švyturys,"Švyturio Ekstra (skardinė), 5.2% alk","Švyturio Extra (tin), 5.2% alc",0.5,10.00,1.00,4770349223748
,Švyturys,"Švyturio Baltas (butelis), 5% alk","Švyturio White (bottle), 5% alc",0.5,12.00,1.00,4770349224080
,Švyturys,"Švyturio WHITE (skardinė), 4.2% alk","Švyturio White (tin), 4.2% alc",0.5,11.00,1.00,4770349226510
,Švyturys,"Švyturio Gintarinis (Amber) (butelis), 4.6% alk","Švyturio Amber (bottle), 4.6% alc",0.5,12.00,1.00,858740000756
,Švyturys,"Švyturio Baltijos (Dark Red) (butelis), 5.8% alk","Švyturio Baltijos (Dark Red) (bottle), 5.8% alc",0.5,12.00,1.00,4770349224073
,Švyturys,"Švyturio Old Port Ale (butelis), 5.6% alk","Švyturio Old Port Ale (bottle), 5.6% alc",0.5,12.00,1.00,4770349225995
,Švyturys,Švyturio Keltų (butelis),Švyturio Keltų (bottle),0.5,12.00,1.00,
,Švyturys,"Švyturio Ekstra Draught (butelis), 5.2% alk","Švyturio Extra Draught (bottle), 5.2% alc",0.5,12.00,1.00,4770349223557
,Švyturys,Švyturio Adler Bock (butelis),Švyturio Adler Bock (bottle),0.5,12.00,1.00,
,Švyturys,Švyturio Baltas Nealkoholinis (skardinė),Švyturio White Alcohol-free (tin),0.5,11.00,1.00,4770075446534
,Švyturys,Utenos Utenos (skardinė),Utenos Utenos (tin),0.568,10.00,1.00,4770349226473
,Švyturys,Utenos Pilsener (skardinė),Utenos Pilsener (tin),0.5,10.00,1.00,
,Švyturys,"DLIGHT gazuotas alaus kokteilis Cracking caffeine&taurine, 2.9% alk","DLIGHT carbonated beer cocktail Cracking & caffeine taurine, 2.9% alc",0.33,12.00,1.00,4770075022530
,Švyturys,"DLIGHT gazuotas alaus kokteilis Juicy lemon, 2.9% alk","DLIGHT carbonated beer cocktail lemon Juicy, 2.9% alc",0.33,12.00,1.00,4770075022271
,Kalnapilis,"Šviesusis alus Pilsner 4,6%  ",Lager beer Pilsner 4.6%,0.5,13.00,1.00,4770477224501
,Kalnapilis,Alus Tauras Pilsneris 4.6%,Beer Tauras Pilsneris 4.6%,0.5,13.00,1.00,4770477225058
,Kalnapilis,Kvietinis alus White select 5.0%,Beer White select 5.0%,0.5,13.00,1.00,4770477226628
,Kalnapilis,"100% miežių salyklas alus Grand select alus 5,4%",Beer Grand select 5.4%,"0,5",13.00,1.00,4770477226444
,Kalnapilis,Dvigubai ilgiau brandintas alus Royal select 5.6%,Beer Royal select 5.6%,0.5,13.00,1.00,4770477227304
,Kalnapilis,"Šviesusi alus Original 5,0%",White beer Original 5.0%,0.5,13.00,1.00,4770477226833
,Baltika Breweries,"Alus BALTIKA EXPORT NO 7 5,4% alk (*SKARDINĖ - 3KR)","Beer BALTIKA EXPORT NO 7 5,4% alc ",1 L,17.00,3.00,4600682001522
,GAIVIEJI GĖRIMAI,NON ALCOCHOL DRINKS,,,,,
,,VANDUO (taros kaina NEįskaičiuota),WATER (pant price is NOT included),"Capacity, l",,PANT,EAN code
,Biršt.min.vand,"Natūralus mineralinis vanduo VYTAUTAS,gazuotas","Natural mineral water “Vytautas”, carbonated",1 L,9.00,3.00,4770405226126
,IDS Borjomi Beverag.,"Natūralus mineralinis vanduo BORJOMI, gazuotas","BORJOMI natural mineral water, carbonated",1 L,19.00,3.00,4860019001360
,Balt.min.vand.komp,"Mineralinis Vanduo TICHĖ, negazuotas",TICHE mineral water,1 L,7.00,3.00,4771096221049
,Elita -Mineral grupp,Gazuotas gėrimas ESSENTUKY No4,Carbonated beverage Essentuki No4,1 L,12.00,3.00,4607160011547
,,GIRA (taros kaina NEįskaičiuota),KVASS (pant price is NOT included),"Capacity, l",,PANT,EAN code
,Švyturys,Salyklo gira skardinėje,Kvass in tin “Salyklo” ,0.5,11.00,1.00,4770349225780
,Gubernija,Duonos gira skardinėje ,Bread Kvass (in tin),0.5,12.00,1.00,4770395222061
,Gubernija,Duonos gira stikliniuose Buteliuose ,Bread Kvass in glass,0.33,11.00,1.00,4770395222047
,Gubernija,GIRA RUGILĖ plast.but ,Kvass RUGILĖ in plastic bottle,1.5,17.00,3.00,4770395226694
,Gubernija,GIRA RUGILĖ plast.but ,Kvass RUGILĖ in plastic bottle,0.75,"12,50",1.50,4770395226700
,Volfas Engelman,Smetoniška Gira ,Kvass SMETONIŠKA,"1,5",17.00,3.00,4770301221621
,,SULTYS/ GĖRIMAI/ KOMPOTAS,JUICE/ DRINKS/ COMPOTE,"Capacity, l",,,EAN code
,Gubernija,GO GREEN Obuolių sultys su liepžiadžiais ir kitomis žolelėmis,GO GREEN apple juice with linden and other herbs,0.5,8.00,,
,Gubernija,GO GREEN Spanguolių-aronijų sultys,GO GREEN Cranberry-aronia juice,0.5,8.00,,
,Elmenhorster,GIMTINĖS Obuolių ir aviečių sulčių gėrimas,GIMTINĖS apple and raspberry juice,1,16.00,,4770569913542
,Elmenhorster,GIMTINĖS Obuolių ir šaltalankių sulčių gėrimas,GIMTINĖS apple and sea buckthorn juice,1,16.00,,4770569913559
,Elmenhorster,GIMTINĖS Gaivusis obuolių ir rabarbarų sulčių gėrimas,GIMTINĖS Soft apple and rhubarb juice,1,16.00,,4770569913641
,Elmenhorster,GIMTINĖS Gaivusis obuolių ir juodųjų serbentų gėrimas,GIMTINĖS Soft apple and black currant drink,1,16.00,,4770569913573
,Elmenhorster,GIMTINĖS Gaivusis obuolių ir mėlynių sulčių gėrimas,,1L,16.00,,4770569913658
,Elmenhorster,GIMTINĖS Gaivusis obuolių ir kriaušių sulčių gėrimas,,1L,16.00,,4770569913535
,Elmenhorster,Obuolių ir melionų sulčių gėrimas,Apple and melon juice drink,1,16.00,,4770569427681
,Elmenhorster,Spanguolių nektaras,Cranberry nectar,1,22.00,,
,Elmenhorster,Apelsinų nektaras,Orange nectra,2,25.00,,4770569913887
,Elmenhorster,Nealkoholinis kokteilis “Pina Colada”,"Non-alcoholic cocktail ""Pina Colada""",1 L,25.00,,4770569913962
,Elmenhorster,Nealkoholinis kokteilis “Mojito” ,"Non-alcoholic cocktail ""Mojito""",1 L,25.00,,4770569913962
,Jale,Granatų sultys JALE,Pomegranate juice JALE,1,29.00,,
,Granda,Natūralus granatų sultys GRANDA 100%,Natural pomegranate juice 100%,1,29.00,,
,Gutta,Baltijos juodųjų serbentų nektaras,Baltic blackcurrant nectar,1,15.00,,4750009941892
,Gutta,Spanguolių gėrimas,Cranberry drink,1,15.00,,4750009786509
,Gutta,Citrinų nektaras,Lemon nectar,1,15.00,,4750009752511
,Gutta,Multivitaminų nektaras,Multifruit nectar,1,15.00,,4750009742512
,Gutta,Slyvų nektaras,Plump nectar,1,15.00,,4750009736511
,Gutta,Granatų gėrimas,Pomegranate drink,1,15.00,,4750009788503
,Gutta,Pomidorų sultys,Tomatoe juice,1,15.00,,4750009761513
,Gutta,Vyšnių gėrimas,Cherry drink,1,15.00,,4750009798502
,Gutta,Apelsinų sultys,Orange juice,1,15.00,,4750009711518
,Gutta,Vynuogių ir braškių nektaras LOTTE,Grapes and strawberry nectar LOTTE,0.3,7.00,,4750009941939
,Gutta,Įvairių vaisių nektaras LOTTE,Different fruits nectar LOTTE,0.3,7.00,,4750009941670
,Gutta,Obuolių ir kriaušių nektaras LOTTE,Apple and pear nectar LOTTE,0.3,7.00,,4750009941687
,Gutta,"Karštas žiemos vyšnių, spanguolių ir aronijų gėrimas","Warm winter cherry, cranberry and chokeberry drink",1,22.00,,4750009943469
,Gutta,Žiemos juodųjų serbentų ir raudonųjų vynuogių gėrimas,Winter blackcurrant and red grape drink,1,22.00,,4750009711266
,Gutta,Skirtingų uogų gėrimas”Uogų kokteilis” GUTTA MAX,"Different fruit drink ""Berry cocktail"" Gutta MAX",2 L,29.00,,4750009942653
,Gutta,Obuolių nektaras GUTTA MAX,Apple nectar GUTTA MAX,2 L,25.00,,4750009312968
,Gutta,Raudonųjų vynuogių nektaras “Romiešu vinogas”,"Red grapes nectar ""Romiesu vinogas""",2 L,25.00,,4750009941908
,Gutta,Apelsinų-mango nektaras GUTTA MAX,Orange-mango nectar GUTTA MAX,2 L,29.00,,4750009942844
,Gutta,Spanguolių gėtimas GUTTA MAX,Cranberry drink GUTTA MAX,2 L,25.00,,4750009386976
